Date : 2021-02-12 01:56:08
Directory : c:\xampp\htdocs\exMed
Total : 5308 files,  463290 codes, 55597 comments, 61492 blanks, all 580379 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\bn.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\bs.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ca.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\cs.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\cy.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\da.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\de-ch.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\de.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\el.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\en-au.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\en-ca.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\en-gb.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\en.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\eo.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\es-mx.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\es.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\et.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\eu.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\fa.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\fi.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\fo.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\fr-ca.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\fr.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\gl.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\gu.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\he.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\hi.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\hr.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\hu.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\id.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\is.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\it.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ja.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ka.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\km.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ko.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ku.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\lt.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\lv.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\mk.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\mn.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ms.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\nb.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\nl.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\no.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\oc.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\pl.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\pt-br.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\pt.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ro.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ru.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\si.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\sk.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\sl.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\sq.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\sr-latn.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\sr.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\sv.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\th.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\tr.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\tt.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\ug.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\uk.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\vi.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\zh-cn.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\lang\zh.js                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\showblocks\plugin.js                                                 | JavaScript |          5 |          4 |          0 |          9 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\dialogs\smiley.js                                             | JavaScript |          7 |          4 |          0 |         11 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\af.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ar.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\az.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\bg.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\bn.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\bs.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ca.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\cs.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\cy.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\da.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\de-ch.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\de.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\el.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\en-au.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\en-ca.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\en-gb.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\en.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\eo.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\es-mx.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\es.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\et.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\eu.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\fa.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\fi.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\fo.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\fr-ca.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\fr.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\gl.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\gu.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\he.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\hi.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\hr.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\hu.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\id.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\is.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\it.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ja.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ka.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\km.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ko.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ku.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\lt.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\lv.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\mk.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\mn.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ms.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\nb.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\nl.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\no.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\oc.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\pl.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\pt-br.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\pt.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ro.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ru.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\si.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\sk.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\sl.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\sq.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\sr-latn.js                                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\sr.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\sv.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\th.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\tr.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\tt.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\ug.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\uk.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\vi.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\zh-cn.js                                                 | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\lang\zh.js                                                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\smiley\plugin.js                                                     | JavaScript |          3 |          4 |          0 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\dialogs\sourcedialog.js                                 | JavaScript |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\af.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\ar.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\az.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\bg.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\bn.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\bs.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\ca.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\cs.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\cy.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\da.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\de-ch.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\de.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\el.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\en-au.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\en-ca.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\en-gb.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\en.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\eo.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\es-mx.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\es.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\et.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\eu.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\fa.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\fi.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\fo.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\fr-ca.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\fr.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\gl.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\gu.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\he.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\hi.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\hr.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\hu.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\id.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\is.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\plugins\ckeditor\plugins\sourcedialog\lang\it.js                                              | JavaScript |          1 |          0 |          0 |          1 |
