Date : 2021-02-12 01:56:08
Directory : c:\xampp\htdocs\exMed
Total : 5308 files,  463290 codes, 55597 comments, 61492 blanks, all 580379 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\exMed\user_guide\libraries\input.html                                                                              | HTML       |      1,085 |          1 |        105 |      1,191 |
| c:\xampp\htdocs\exMed\user_guide\libraries\javascript.html                                                                         | HTML       |        715 |          1 |         86 |        802 |
| c:\xampp\htdocs\exMed\user_guide\libraries\language.html                                                                           | HTML       |        642 |          1 |         90 |        733 |
| c:\xampp\htdocs\exMed\user_guide\libraries\loader.html                                                                             | HTML       |      1,097 |          1 |        115 |      1,213 |
| c:\xampp\htdocs\exMed\user_guide\libraries\migration.html                                                                          | HTML       |        657 |          1 |        100 |        758 |
| c:\xampp\htdocs\exMed\user_guide\libraries\output.html                                                                             | HTML       |        809 |          1 |        102 |        912 |
| c:\xampp\htdocs\exMed\user_guide\libraries\pagination.html                                                                         | HTML       |        691 |          1 |         92 |        784 |
| c:\xampp\htdocs\exMed\user_guide\libraries\parser.html                                                                             | HTML       |        742 |          1 |        107 |        850 |
| c:\xampp\htdocs\exMed\user_guide\libraries\security.html                                                                           | HTML       |        643 |          1 |         95 |        739 |
| c:\xampp\htdocs\exMed\user_guide\libraries\sessions.html                                                                           | HTML       |      1,785 |          1 |        136 |      1,922 |
| c:\xampp\htdocs\exMed\user_guide\libraries\table.html                                                                              | HTML       |        781 |          1 |        129 |        911 |
| c:\xampp\htdocs\exMed\user_guide\libraries\trackback.html                                                                          | HTML       |        924 |          1 |        110 |      1,035 |
| c:\xampp\htdocs\exMed\user_guide\libraries\typography.html                                                                         | HTML       |        565 |          1 |         91 |        657 |
| c:\xampp\htdocs\exMed\user_guide\libraries\unit_testing.html                                                                       | HTML       |        747 |          1 |         98 |        846 |
| c:\xampp\htdocs\exMed\user_guide\libraries\uri.html                                                                                | HTML       |        787 |          1 |        102 |        890 |
| c:\xampp\htdocs\exMed\user_guide\libraries\user_agent.html                                                                         | HTML       |        824 |          1 |        106 |        931 |
| c:\xampp\htdocs\exMed\user_guide\libraries\xmlrpc.html                                                                             | HTML       |      1,026 |          1 |        124 |      1,151 |
| c:\xampp\htdocs\exMed\user_guide\libraries\zip.html                                                                                | HTML       |        728 |          1 |        117 |        846 |
| c:\xampp\htdocs\exMed\user_guide\license.html                                                                                      | HTML       |        423 |          1 |         85 |        509 |
| c:\xampp\htdocs\exMed\user_guide\overview\appflow.html                                                                             | HTML       |        426 |          1 |         86 |        513 |
